       lS     MSdm     omega
9.56607    23.23    0.00147
5.90623    20.8149  0.000845
9.8358     85.3797  0.0001
0.0897264  46.6892  0.181
5.5443     94.439   0.000637
7.4132     25.0921  0.000957
7.8915     79.647   3.28e-05
2.4762     90.1776  0.00219
7.46689    53.6598  0.000262
8.76656    42.9816  0.00071
5.74742    70.296   3.19e-05
2.16544    27.009   0.00158
2.94559    69.0718  8.44e-05
9.35103    39.6934  0.000906
8.26601    34.7331  0.00087
0.838034   82.9723  0.00458
4.97493    88.2834  0.000486
7.59713    37.7613  0.000692
4.40852    69.9772  4.92e-05
1.54602    57.4315  7.45e-05
8.40153    80.0796  2.43e-05
3.03712    99.9654  0.00293
2.45474    53.8242  0.000134
9.48333    23.7191  0.00143
9.03635    73.216   2.45e-05
6.46467    99.2929  0.000654
4.57288    22.2081  0.000771
7.89224    96.6735  0.000376
5.74912    95.8731  0.000656
0.47359    59.2212  5.58e-05
6.17078    54.1786  0.00018
0.723997   83.5683  0.00884
7.69712    67.1855  6.99e-06
9.11845    42.9822  0.00076
9.71313    85.4105  0.000103
0.496553   93.6313  0.0626
9.26011    66.1292  3.08e-06
2.17039    60.5962  9.61e-06
8.57879    31.1531  0.00102
3.31838    29.7093  0.000764
8.54035    82.3963  3.78e-05
4.79293    74.4024  0.000103
8.6031     71.3347  1.85e-05
6.04497    60.5099  4.22e-05
8.19136    64.0995  9.73e-07
5.79344    73.3496  5.95e-05
8.00367    69.1909  1.25e-05
6.02441    92.5181  0.000471
8.8523     74.8428  3.36e-05
1.30624    76.2171  0.0016
4.58402    70.2839  4.93e-05
7.62535    30.269   0.000874
8.04418    37.8441  0.000753
3.40386    59.7436  2.32e-05
2.61107    42.8762  0.000494
2.13797    25.1177  0.00174
2.52364    63.211   2.79e-06
7.92675    31.4321  0.000896
6.19132    58.3386  9.08e-05
9.69897    99.0256  0.000294
1.95245    64.1203  1.64e-05
1.55122    32.6628  0.00233
9.47846    45.7823  0.000712
2.07698    97.8711  0.00534
4.00667    69.2293  4.86e-05
0.121036   37.6181  0.226
0.259365   75.6227  0.0334
8.13824    59.3348  0.000115
0.902276   69.6625  0.000983
3.22944    54.5908  9.62e-05
5.86232    37.5314  0.000506
9.72576    44.4222  0.000797
9.67982    80.0479  1.85e-05
9.90968    57.359   0.000265
9.62525    33.0851  0.00117
6.1831     88.8489  0.000335
3.58854    75.0127  0.000197
5.83567    35.4971  0.000545
6.23969    25.1143  0.000789
0.667039   84.9538  0.0173
3.30475    83.2132  0.000362
3.5748     93.1275  0.00135
5.05047    92.2346  0.000649
0.798371   94.3741  0.0265
4.16072    26.7052  0.000698
1.40355    63.0855  6.68e-06
6.39031    67.1377  9.86e-06
8.33864    70.5709  1.65e-05
2.29131    33.6916  0.00105
6.49954    96.5511  0.000542
0.783688   49.7169  0.00203
0.296019   22.2892  0.0828
5.9376     49.1485  0.000273
3.74682    41.4366  0.000379
6.75821    75.4138  6.15e-05
6.76167    36.2264  0.000621
5.16703    94.8804  0.000753
6.61375    49.7561  0.000304
2.42484    58.5018  3.31e-05
2.49789    84.5496  0.0013
2.58075    57.572   4.69e-05
2.47073    59.0218  2.61e-05
9.78127    99.4595  0.000297
0.705125   96.1987  0.0382
5.2863     93.899   0.000672
