        lS     MSdm       omega
1.7413      20.7879    0.003
9.59736     33.0869    0.00117
0.56229     34.0902    0.015
1.22305     68.6028    0.000405
6.68639     94.0698    0.000432
1.02436     20.0722    0.00845
6.12646     96.3719    0.000601
1.15969     28.9261    0.00481
6.69639     41.1564    0.000506
1.68884     93.106     0.00572
3.33053     30.7814    0.000729
9.29263     52.4699    0.000437
0.910125    99.8771    0.0297
8.6604      49.358     0.00049
1.71135     22.91      0.00288
8.42245     30.7978    0.001
7.8486      86.9621    0.000179
1.68633     82.5002    0.00093
5.82446     33.9269    0.000575
4.46215     35.9017    0.000481
2.59077     45.4225    0.000404
7.3503      73.2096    3.66e-05
0.380825    52.9933    0.00398
3.57806     75.9126    0.000223
8.76535     67.8217    6.85e-06
8.13518     26.9899    0.00104
1.302       57.408     9.71e-05
5.85565     70.4721    3.21e-05
5.86088     68.9972    2.17e-05
8.34245     24.5121    0.00115
7.11991     52.3038    0.000277
9.88139     30.7378    0.0013
4.41886     88.0585    0.0006
1.15543     38.2256    0.00298
4.22809     76.2236    0.000168
3.89392     75.3727    0.000177
2.87374     72.8903    0.000213
7.42509     92.9427    0.000325
5.65798     57.1812    9.95e-05
8.87557     41.519     0.000772
9.3031      70.269     1.24e-05
0.342577    72.9731    0.0131
2.18673     80.2852    0.000328
6.20246     72.7692    4.68e-05
8.96221     31.9411    0.00107
4.85729     77.1897    0.000137
0.979178    69.6589    0.000838
0.912095    93.5736    0.0194
7.70077     73.4209    3.47e-05
2.76797     92.5939    0.00213
3.87366     49.2937    0.000198
9.29945     33.6702    0.00109
3.00948     39.4449    0.000528
5.22065     74.2544    8.51e-05
9.30841     39.3852    0.000909
9.08184     38.2621    0.000906
4.14674     51.5019    0.000158
3.63409     84.4498    0.000611
1.76456     26.4372    0.00239
9.07664     88.1818    0.000151
0.549914    86.554     0.0291
6.81063     49.1428    0.000332
8.74982     62.5692    1.29e-08
0.481922    33.2361    0.021
7.3102      33.4924    0.000752
8.29244     91.4523    0.000234
1.63153     81.9487    0.000807
3.71258     57.8623    4.84e-05
9.77559     69.9533    1.04e-05
4.3156      72.6563    9.26e-05
6.35292     27.4432    0.000755
7.72073     56.3168    0.000198
1.12075     89.042     0.00918
6.21032     43.422     0.000413
8.56533     47.2567    0.000549
8.42951     54.3604    0.000301
5.01901     94.5312    0.000777
4.04545     93.3043    0.00108
2.9969      23.2133    0.00111
1.49932     58.0441    5.67e-05
0.781952    55.1445    0.000589
1.1416      70.1901    0.000712
5.76677     67.9918    1.64e-05
9.48594     57.4813    0.000239
9.85036     69.1381    8.25e-06
